# CL due to Canard created from a combination of wind tunnel test data  and knowledge of the wing airfoil performance

-4.6
-38.503 -0.61639
-35.053 -0.65079
-28.756 -0.67564
-21.61 -0.70041
-19.509 -0.73031
-18.857 -0.75803
-18.157 -0.76491
-17.06 -0.74396
-15.616 -0.67202
-6.8637 -0.089846
-5.8229 0.028372
-4.8864 0.20911
-4.1418 0.27635
-3.7183 0.31941
-1.4648 0.47699
0.78873 0.6402
2.9859 0.78932
5.2394 0.92714
7.3803 1.0932
8.4856 1.1669
8.9832 1.1948
9.7327 1.1948
10.284 1.1764
11.038 1.1093
12.243 1.0260
13.144 1.0053
14.993 0.99156
24.090 0.94846
30.741 0.87501
36.244 0.77134

-.1
-38.503 -0.61639
-35.053 -0.65079
-28.756 -0.67564
-21.61 -0.70041
-19.509 -0.73031
-18.857 -0.75803
-18.157 -0.76491
-17.06 -0.74396
-15.616 -0.67202
-6.8637 -0.089846
-5.8229 0.028372
-5.0372 0.22067
-4.2928 0.29254
-3.7183 0.33634
-1.4085 0.51083
0.90141 0.66557
3.0423 0.8147
5.1831 0.93562
7.3803 1.0932
8.4856 1.1669
8.9832 1.1948
9.7327 1.1948
10.284 1.1764
11.038 1.1093
12.243 1.0260
13.144 1.0053
14.993 0.99156
24.090 0.94846
30.741 0.87501
36.244 0.77134


5.1
-38.503 -0.61639
-35.053 -0.65079
-28.756 -0.67564
-21.61 -0.70041
-19.509 -0.73031
-18.857 -0.75803
-18.157 -0.76491
-17.06 -0.74396
-15.616 -0.67202
-6.8637 -0.089846
-5.8229 0.028372
-5.288 0.23455
-4.3464 0.34349
-3.6056 0.38992
-1.2958 0.54184
0.84507 0.69661
3.0423 0.82880
5.2958 0.95252
7.3803 1.0932
8.4856 1.1669
8.9832 1.1948
9.7327 1.1948
10.284 1.1764
11.038 1.1093
12.243 1.0260
13.144 1.0053
14.993 0.99156
24.090 0.94846
30.741 0.87501
36.244 0.77134
